ID_SAP,CLIENTE,FECHA_ALTA,DIRECCIÓN,ENTRE_CALLE_1,ENTRE_CALLE_2,COLONIA,DELEGACION_MUNICIPIO,CODIGO_POSTAL,ESTATUS,ID_VP,MODALIDAD,GEC_SAP,GEC_RTM,_MADUREZ_CTE,Estatus_Cte,CADENA,DESC_CADENA,CANAL_KOF,CANAL_SAP,GRUPO_RM1,GRUPO_RM2,ZONA,REGIÓN,REGIÓN_KOF_CVE,UO,CENTRO,GERENCIA,JEFATURA,CENTRO_SUMINISTRO,CONDICIÓN_EXPEDICIÓN,TIPO_SERVICIO,ID_MULTICENTRO,REPARTO_SAP,TPV,RUTA,FV,L,M,R,J,V,S,RITMO,MÉTODO_VENTA,Latitud Final,Longitud Final,Tipo,Descripción Tipo,EsquemaReparto
280000281,GABRIEL VAZQUEZ LOPEZ,14.02.2013,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69800,A,SIN VP,CO,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0103,Tlaxiaco,,,MJBC,4,,NO ASIGNADO,RTI853,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Distribuidor Autorizado
280000545,Wilber Juarez Jimenez,06.03.2014,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69800,A,SIN VP,PR,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0103,Tlaxiaco,,,MJBC,4,,NO ASIGNADO,TI0860,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Eventos Especiales
280000720,Felix Vasquez Reyes,18.11.2014,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69800,A,SIN VP,CO,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0103,Tlaxiaco,,,MJBC,4,,NO ASIGNADO,RTI850,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
580001310,JESUS REYES AYALA,02.06.2017,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69800,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0103,Tlaxiaco,,,MJBC,4,,NO ASIGNADO,RTI851,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
580001728,Ramíro Eleuterio Ortíz Ortíz,01.04.2019,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69800,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0103,Tlaxiaco,,,MJBC,4,,NO ASIGNADO,RTI856,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Distribuidor Autorizado
580001729,Fidel Antonio Jimenez Ramirez,01.04.2019,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69800,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0103,Tlaxiaco,,,MJBC,4,,NO ASIGNADO,RTI858,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
580001905,Jose Humberto Cruz Guzman,23.03.2020,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69800,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0103,Tlaxiaco,,,MJBC,4,,NO ASIGNADO,RTID01,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Full Distribuidor
580001906,Jose Humberto Cruz Guzman 2,23.03.2020,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69800,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0103,Tlaxiaco,,,MJBC,4,,NO ASIGNADO,RTID02,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Full Distribuidor
580001907,Jose Humberto Cruz Guzman 3,23.03.2020,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69800,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0103,Tlaxiaco,,,MJBC,4,,NO ASIGNADO,RTID03,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Full Distribuidor
580001908,Jose Humberto Cruz Guzman 4,23.03.2020,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69800,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0103,Tlaxiaco,,,MJBC,4,,NO ASIGNADO,RTID04,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Full Distribuidor
580001910,Jose Humberto Cruz Guzman 5,23.03.2020,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69800,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0103,Tlaxiaco,,,MJBC,4,,NO ASIGNADO,RTID06,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Full Distribuidor
580001911,JOSE LOPEZ SANTIAGO,23.03.2020,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69800,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0103,Tlaxiaco,,,MJBC,4,,NO ASIGNADO,RTID07,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Full Distribuidor
